,STEO.RGDPQ_NONOECD.M,STEO.RGDPQ_OECD.M,STEO.PAPR_NONOPEC.M,STEO.PAPR_OPEC.M,STEO.PATC_OECD.M,STEO.PATC_NON_OECD.M,STEO.COPRPUS.M,STEO.CORIPUS.M,PET.MCRIMXX2.M,STEO.FOREX_WORLD.M,STEO.PASC_OECD_T3.M,STEO.COPS_OPEC.M,STEO.COPC_OPEC.M,STEO.T3_STCHANGE_OOECD.M,STEO.T3_STCHANGE_NOECD.M,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211,WTISPLC,forecast
1994-02-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1994-03-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-04-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-05-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-06-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1994-07-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-08-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-09-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1994-10-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1994-11-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1994-12-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1995-01-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1995-02-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-03-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-04-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1995-05-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-06-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1995-07-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-08-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-09-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1995-10-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-11-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1995-12-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-01-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1996-02-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-03-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1996-04-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1996-05-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-06-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-07-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1996-08-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1996-09-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-10-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-11-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1996-12-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
